[25/04/2026 17:35:01] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 17:35:36] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 17:40:33] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 17:43:19] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 17:44:56] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 17:49:45] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 18:02:36] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 18:06:37] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 18:07:45] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 18:15:35] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 18:16:21] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 18:24:57] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 18:26:12] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 18:46:30] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 19:01:15] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 19:04:44] [INFO] received Windows console close event; shutting log-core down
[25/04/2026 19:08:08] [INFO] received Windows console close event; shutting log-core down
[02/05/2026 07:08:28] [INFO] received Windows console close event; shutting log-core down
[02/05/2026 07:16:28] [INFO] received Windows console close event; shutting log-core down
[02/05/2026 07:25:47] [INFO] received Windows console close event; shutting log-core down
[02/05/2026 07:37:40] [INFO] received Windows console close event; shutting log-core down
[02/05/2026 07:46:59] [INFO] received Windows console close event; shutting log-core down
[02/05/2026 07:56:30] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 12:05:38] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 13:14:51] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 14:00:09] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 14:07:08] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 14:33:09] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 15:34:30] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 19:23:40] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 19:24:57] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 19:27:34] [INFO] received Windows console close event; shutting log-core down
[24/05/2026 19:30:36] [INFO] received Windows console close event; shutting log-core down
